8000,0.215,0.825,0.00557249572035477,14.6140245414135,-49705.1465836726,-49712.4535959433
10000,0.215,0.825,0.12018621445499,7.31421499775024,-61882.1960671464,-61885.8531746453
50,0.215,0.825,0.671689127832052,2.34995674944491,-330.43599816201,-331.610976536732
100,0.215,0.825,0.196852926833699,6.03089417860519,-622.72010995707,-625.735557046373
200,0.215,0.825,0.700114298085289,2.19407426878934,-1248.98804716256,-1250.08508429695
300,0.215,0.825,0.0775545070022753,8.41345082417229,-1851.33904603965,-1855.54577145174
400,0.215,0.825,0.307062960491488,4.81268246446598,-2479.85867836527,-2482.2650195975
500,0.215,0.825,0.946912719350142,0.735242665859914,-3098.39313615223,-3098.76075748516
1000,0.215,0.825,0.527350974652851,3.18503785667781,-6197.61320990573,-6199.20572883407
2000,0.215,0.825,0.109576608516108,7.54879915193669,-12339.6152693057,-12343.3896688817
4000,0.215,0.825,0.00184086987493105,17.109065469529,-24883.9664639909,-24892.5209967257
5000,0.215,0.825,0.356690004188014,4.38264825556689,-30835.756774303,-30837.9480984308
6000,0.215,0.825,0.0332700590791965,10.4658932087914,-37041.4081143541,-37046.6410609585
7000,0.215,0.825,0.422386217988365,3.88074181468983,-43482.1655633654,-43484.1059342728
8000,0.215,0.825,0.687924616546869,2.26074636858539,-49800.0936533741,-49801.2240265584
10000,0.215,0.825,0.000142914565599364,22.7368182396021,-61610.1956927999,-61621.5641019197
50,0.215,0.825,0.787110923012266,1.71983815044746,-304.501219325641,-305.361138400865
100,0.215,0.825,0.890372346985332,1.12445902216996,-577.99154853723,-578.553778048314
200,0.215,0.825,0.38550942734113,4.15442881068839,-1281.61026034985,-1283.6874747552
300,0.215,0.825,0.798961930958563,1.65451804422355,-1845.62160400326,-1846.44886302537
400,0.215,0.825,0.486209888653596,3.44552300407304,-2456.32355166035,-2458.04631316239
500,0.215,0.825,0.317275111699626,4.71979212056794,-3080.60126345185,-3082.96115951213
1000,0.215,0.825,0.0653622428760461,8.83486501966945,-6163.69137189142,-6168.10880440126
2000,0.215,0.825,0.17630680175815,6.32275041658431,-12315.4222818367,-12318.583657045
4000,0.215,0.825,0.061542389452096,8.98234105096344,-24532.859702668,-24537.3508731934
5000,0.215,0.825,0.0855189347868215,8.17077798542596,-30939.6704486079,-30943.7558376006
6000,0.215,0.825,0.0196138267436847,11.7135095623817,-37295.0615436621,-37300.9182984433
7000,0.215,0.825,0.0605876607884014,9.02055868681055,-43491.5518896948,-43496.0621690382
8000,0.215,0.825,0.00481719963908385,14.9447463224933,-49609.0121356812,-49616.4845088424
10000,0.215,0.825,0.00233281602491938,16.5791431651305,-62254.6583416683,-62262.9479132509
50,0.215,0.825,0.509891147890449,3.29395157534941,-300.539661803191,-302.186637590866
100,0.215,0.825,0.280579806513812,5.0661239897729,-629.217088332794,-631.750150327681
200,0.215,0.825,0.128036355427585,7.15268148596397,-1258.22677360684,-1261.80311434982
300,0.215,0.825,0.297829910015906,4.898893029791,-1867.98915350247,-1870.43860001736
400,0.215,0.825,0.210947037770549,5.84601301868588,-2404.59745257851,-2407.52045908785
500,0.215,0.825,0.227908811431119,5.63745346052747,-3095.13444628716,-3097.95317301742
1000,0.215,0.825,0.435184160052334,3.78991167408458,-6181.38741475792,-6183.28237059496
2000,0.215,0.825,0.31281238258946,4.76007780884902,-12502.1101126286,-12504.4901515331
4000,0.215,0.825,0.393092006009971,4.0965870249056,-25094.8027660423,-25096.8510595547
5000,0.215,0.825,0.14369102249482,6.8560981098417,-31115.3087683578,-31118.7368174127
6000,0.215,0.825,0.572889843733947,2.91063637105981,-37100.9857235378,-37102.4410417233
7000,0.215,0.825,0.00146017738212614,17.6257893165748,-43541.9756425821,-43550.7885372404
8000,0.215,0.825,0.0330044741184056,10.4849830688181,-49366.5385041872,-49371.7809957216
10000,0.215,0.825,0.00285673798018741,16.124370297679,-62134.2679070802,-62142.3300922291
50,0.215,0.825,0.096552499511068,7.86754447473072,-312.664313534678,-316.598085772043
100,0.215,0.825,0.35645392433666,4.38457656224477,-651.152422648726,-653.344710929849
200,0.215,0.825,0.282290787733813,5.04915680956128,-1277.14524300262,-1279.6698214074
300,0.215,0.825,0.143725573906735,6.85547697800666,-1896.56771536376,-1899.99545385277
400,0.215,0.825,0.506768251532981,3.3136765495683,-2501.18850178676,-2502.84534006154
500,0.215,0.825,0.142676884455511,6.87439045095653,-3071.46141015809,-3074.89860538357
1000,0.215,0.825,0.605953000233803,2.71866185269573,-6154.67003199781,-6156.02936292415
2000,0.215,0.825,0.0510091355996062,9.43931974783482,-12150.5374303669,-12155.2570902408
4000,0.215,0.825,0.0106811754970386,13.1249405592462,-24785.4199499937,-24791.9824202733
5000,0.215,0.825,0.63886539005237,2.53227802250331,-30777.844489322,-30779.1106283333
6000,0.215,0.825,0.862183141511766,1.29523690690985,-37139.0927860246,-37139.7404044781
7000,0.215,0.825,0.000867256114566087,18.7822572984878,-43450.495947067,-43459.8870757162
8000,0.215,0.825,0.516660007363386,3.25145741393499,-49716.4499107084,-49718.0756394153
10000,0.215,0.825,0.138235919521841,6.95592277406831,-62005.6125761748,-62009.0905375618
50,0.215,0.825,0.913573357006878,0.974929584397728,-305.580925227258,-306.068390019457
100,0.215,0.825,0.544135396281015,3.08237883962397,-612.215839594839,-613.757029014651
200,0.215,0.825,0.936519296300321,0.814310609267523,-1250.84509699042,-1251.25225229505
300,0.215,0.825,0.605852413374271,2.71923810478029,-1827.54803123443,-1828.90765028682
400,0.215,0.825,0.85596552365586,1.33175345582185,-2488.68862927863,-2489.35450600655
500,0.215,0.825,0.282742393419609,5.04469286964104,-3012.79246854205,-3015.31481497687
1000,0.215,0.825,0.00134136410865825,17.8146890935732,-6178.3892389654,-6187.29658351219
2000,0.215,0.825,0.7916944745428,1.69462110289533,-12321.403547265,-12322.2508578164
4000,0.215,0.825,0.11176550367009,7.49872555310139,-25076.0574782238,-25079.8068410003
5000,0.215,0.825,0.486375355161039,3.44444740167091,-30825.5534280029,-30827.2756517037
6000,0.215,0.825,0.581018796063979,2.86293383124575,-37238.7883339201,-37240.2198008357
7000,0.215,0.825,0.0175096586236621,11.9787938025111,-43425.3931159357,-43431.382512837
8000,0.215,0.825,0.0525086569041628,9.36904951477482,-49341.6669829714,-49346.3515077288
10000,0.215,0.825,0.0435929785220748,9.81880839716177,-61943.9270664323,-61948.8364706308
50,0.215,0.825,0.740542404162522,1.97399334144347,-291.86297781989,-292.849974490612
100,0.215,0.825,0.781762473981044,1.74919841226165,-640.39820908861,-641.272808294741
200,0.215,0.825,0.583514393166112,2.84835824161655,-1229.96887486134,-1231.39305398215
300,0.215,0.825,0.405567576067269,4.00323974052117,-1740.42881224655,-1742.43043211681
400,0.215,0.825,0.015387992213031,12.2797222523632,-2539.19741670326,-2545.33727782944
500,0.215,0.825,0.0590114203893259,9.08492667031169,-3092.08078430777,-3096.62324764292
1000,0.215,0.825,0.505309252126635,3.32291840159633,-6154.98178687555,-6156.64324607635
2000,0.215,0.825,0.628436364681616,2.59089790314101,-12313.1337559312,-12314.4292048828
4000,0.215,0.825,0.0107029524313328,13.1202462473448,-24754.6795681555,-24761.2396912792
5000,0.215,0.825,0.302086310576845,4.85887855554756,-31343.2066140391,-31345.6360533168
6000,0.215,0.825,0.0632571957198052,8.91509109325125,-37382.2800403242,-37386.7375858708
7000,0.215,0.825,0.0230183263895,11.3378459021478,-43224.0820678085,-43229.7509907596
8000,0.215,0.825,0.0309894570569964,10.6348379190895,-49824.2832739926,-49829.6006929521
10000,0.215,0.825,0.280516918818204,5.06674928597931,-61367.2177654479,-61369.7511400909
50,0.215,0.825,0.992938152767765,0.247649010562895,-304.817693503891,-304.941518009172
100,0.215,0.825,0.207860257269387,5.88554746837849,-594.950642375665,-597.893416109854
200,0.215,0.825,0.414265975983909,3.9394241079217,-1236.28558195735,-1238.25529401131
300,0.215,0.825,0.350868487853832,4.4304968631086,-1871.65751041,-1873.87275884156
400,0.215,0.825,0.3382375985971,4.53653270619907,-2522.55134963273,-2524.81961598583
500,0.215,0.825,0.0780842367860672,8.39659684333492,-2992.99615994876,-2997.19445837043
1000,0.215,0.825,0.791504577242759,1.69566694960122,-6306.02978877385,-6306.87762224865
2000,0.215,0.825,0.282541402367686,5.04667884230003,-12387.0703286845,-12389.5936681057
4000,0.215,0.825,0.325878434632125,4.6434216528578,-24604.8646813311,-24607.1863921575
5000,0.215,0.825,0.214699011665457,5.79864095863741,-30958.3372586747,-30961.236579154
6000,0.215,0.825,0.0549242535895916,9.259780375025,-37468.6677561957,-37473.2976463832
7000,0.215,0.825,0.0121030808839541,12.8364732328919,-43295.6721114384,-43302.0903480548
8000,0.215,0.825,0.310860509486158,4.77784645897918,-49845.6266331267,-49848.0155563561
10000,0.215,0.825,0.00586235221931977,14.4986744251364,-62196.5415781317,-62203.7909153443
50,0.215,0.825,0.846485718020222,1.38680142416797,-281.711455373675,-282.404856085759
100,0.215,0.825,0.108826735335327,7.56616742423512,-591.702796451256,-595.485880163374
200,0.215,0.825,0.291010681680829,4.96400602412086,-1242.28252794248,-1244.76453095454
300,0.215,0.825,0.287705150380994,4.99602935983512,-1840.05291030033,-1842.55092498025
400,0.215,0.825,0.968060646760898,0.553761332290378,-2463.24435269553,-2463.52123336167
500,0.215,0.825,0.912008756417528,0.985353029497674,-3024.15654224472,-3024.64921875947
1000,0.215,0.825,0.733905813487131,2.01007436929103,-6355.80192093873,-6356.80695812337
2000,0.215,0.825,0.398480015483084,4.05600079712531,-12464.3316891387,-12466.3596895372
4000,0.215,0.825,0.724388924466586,2.06182319462096,-24715.8707336307,-24716.901645228
5000,0.215,0.825,0.0987574845028972,7.81086211132788,-30880.8708609724,-30884.776292028
6000,0.215,0.825,0.507753510401536,3.30744511615194,-37374.5076678305,-37376.1613903886
7000,0.215,0.825,0.0288126558520587,10.8076761118282,-43548.7211709366,-43554.1250089925
8000,0.215,0.825,0.00282806654497947,16.1470451291243,-49521.8791823372,-49529.9527049018
10000,0.215,0.825,0.00261858256833471,16.319928809593,-62063.570034755,-62071.7299991598
50,0.215,0.825,0.44503379355142,3.7213120870008,-286.383194636527,-288.243850680027
100,0.215,0.825,0.257336970895899,5.30577316274662,-616.378962238436,-619.03184881981
200,0.215,0.825,0.372080801989956,4.25905139461702,-1237.51671980074,-1239.64624549805
300,0.215,0.825,0.289423136265898,4.97934756396489,-1803.23344955404,-1805.72312333602
400,0.215,0.825,0.533178485037704,3.1491778425725,-2453.41035198076,-2454.98494090205
500,0.215,0.825,0.171216867093472,6.39976065845531,-3126.7822283895,-3129.98210871873
1000,0.215,0.825,0.390922961314998,4.113045297594,-6062.82187222647,-6064.87839487527
2000,0.215,0.825,0.664491075158967,2.3896909582545,-12493.3827123573,-12494.5775578364
4000,0.215,0.825,0.816859855822519,1.55497995764745,-24888.8579090745,-24889.6353990533
5000,0.215,0.825,0.0432106426897832,9.84001180248015,-31057.8624714435,-31062.7824773447
6000,0.215,0.825,6.44550489897871e-08,39.1634002153733,-37081.9587673197,-37101.5404674274
7000,0.215,0.825,0.0137430285909669,12.5422723082884,-43549.1916715425,-43555.4628076966
8000,0.215,0.825,0.0155130302877467,12.2608983496029,-49751.6572955893,-49757.7877447641
10000,0.215,0.825,0.000498600312220542,20.0035222454608,-62100.5064366444,-62110.5081977671
50,0.215,0.825,0.285488856751055,5.01767378974591,-321.175203060686,-323.684039955559
100,0.215,0.825,0.312643357134385,4.7616128939685,-631.954821276077,-634.335627723061
200,0.215,0.825,0.535104096602015,3.13738006304447,-1272.08847991951,-1273.65716995103
300,0.215,0.825,0.352922156767574,4.41354571222291,-1856.43836327077,-1858.64513612688
400,0.215,0.825,0.839847806098337,1.42494653543326,-2532.59218473866,-2533.30465800638
500,0.215,0.825,0.840396401124222,1.42180548818578,-3120.1230438939,-3120.83394663799
1000,0.215,0.825,0.194307051935523,6.06553764360251,-6108.65952167491,-6111.69229049671
2000,0.215,0.825,0.909476664956282,1.00210480274109,-12412.4505138108,-12412.9515662121
4000,0.215,0.825,0.0601475829083494,9.03836811002111,-24902.3657742046,-24906.8849582596
5000,0.215,0.825,0.121098547441281,7.29494919616263,-30938.152417927,-30941.7998925251
6000,0.215,0.825,0.0127268278446379,12.7202384303382,-37228.8658843061,-37235.2260035213
7000,0.215,0.825,0.567692176966104,2.94132426896249,-43100.9023442615,-43102.373006396
8000,0.215,0.825,0.0808353935843975,8.31076297644177,-49923.4986132494,-49927.6539947376
10000,0.215,0.825,0.00637583041671188,14.3074290576042,-61899.5008197022,-61906.654534231
50,0.215,0.825,0.267171327333435,5.20221247476343,-309.087584497396,-311.688690734777
100,0.215,0.825,0.00921971961503839,13.4634905360756,-630.008180642022,-636.73992591006
200,0.215,0.825,0.283164965203753,5.04052135703932,-1264.24169002276,-1266.76195070128
300,0.215,0.825,0.791510871815902,1.69563228423476,-1851.60259590553,-1852.45041204765
400,0.215,0.825,0.32514893358632,4.64983301556549,-2443.76175314087,-2446.08666964865
500,0.215,0.825,0.280104628214526,5.07085165055469,-3162.97730035147,-3165.51272617675
1000,0.215,0.825,0.58237956773195,2.8549822695386,-6196.99384158704,-6198.42133272181
2000,0.215,0.825,0.473492659618555,3.52893311802109,-12272.2387344348,-12274.0032009938
4000,0.215,0.825,0.424654249103132,3.86450005795632,-24918.9383099616,-24920.8705599906
5000,0.215,0.825,0.449258399719605,3.69222063500638,-31051.3657199875,-31053.211830305
6000,0.215,0.825,0.00227087977650703,16.6394412124064,-37298.3912635715,-37306.7109841777
7000,0.215,0.825,0.0343127234101672,10.3923409728595,-43597.7251144003,-43602.9212848867
8000,0.215,0.825,0.0121930233271761,12.8193567694834,-49464.0373630392,-49470.4470414239
10000,0.215,0.825,0.122263729448505,7.27053821578738,-62348.9523043315,-62352.5875734394
50,0.215,0.825,0.461630251603202,3.60811812389068,-311.564821428461,-313.368880490406
100,0.215,0.825,0.168601710797244,6.44013423875026,-646.582653540676,-649.802720660051
200,0.215,0.825,0.216718733680973,5.77344145041207,-1255.07958775686,-1257.96630848207
300,0.215,0.825,0.166970397703464,6.4656064265705,-1885.32168201927,-1888.55448523255
400,0.215,0.825,0.288074221696638,4.99243860695606,-2491.07626651392,-2493.5724858174
500,0.215,0.825,0.710113443942953,2.13953238277008,-3116.91176705104,-3117.98153324243
1000,0.215,0.825,0.146228960743684,6.81083291706636,-6183.01087938212,-6186.41629584066
2000,0.215,0.825,0.46829768060848,3.56344173928301,-12335.5291528115,-12337.3108736812
4000,0.215,0.825,0.888688115252948,1.1349498671043,-24745.6827511932,-24746.2502261267
5000,0.215,0.825,0.0867545487073667,8.13504989931971,-31057.1096135633,-31061.1771385129
6000,0.215,0.825,0.00350240589458113,15.6655486083764,-37165.0851401396,-37172.9179144438
7000,0.215,0.825,0.00332213784868662,15.7846732509206,-43495.6240014354,-43503.5163380608
8000,0.215,0.825,0.0250139609306336,11.1419698063546,-49629.5094835915,-49635.0804684947
10000,0.215,0.825,0.0100567540524385,13.2636795275903,-62184.0228925662,-62190.65473233
50,0.215,0.825,0.386762925166311,4.14480707250186,-281.981626571183,-284.054030107434
100,0.215,0.825,0.152003178474429,6.71046329470914,-624.087559835701,-627.442791483055
200,0.215,0.825,0.16427887358939,6.50812958941697,-1211.9878425355,-1215.24190733021
300,0.215,0.825,0.841687696972631,1.41440406191668,-1825.90055851945,-1826.60776055041
400,0.215,0.825,0.932533124821292,0.843426594011362,-2500.6117703697,-2501.03348366671
500,0.215,0.825,0.197322018801541,6.02455448524415,-3050.18712825572,-3053.19940549834
1000,0.215,0.825,0.968857560968844,0.546130490076393,-6203.76332473655,-6204.03638998159
2000,0.215,0.825,0.235467555478888,5.54886414009161,-12384.5371198259,-12387.3115518959
4000,0.215,0.825,0.679669605135444,2.30603993050318,-24636.0050080586,-24637.1580280238
5000,0.215,0.825,0.354619566782775,4.39959422483662,-31030.9346444687,-31033.1344415811
6000,0.215,0.825,0.00951649300316866,13.3906888061902,-37174.3444078332,-37181.0397522363
7000,0.215,0.825,0.0615179749987635,8.98331131496525,-43268.7399675412,-43273.2316231986
8000,0.215,0.825,0.0274795150379625,10.9198669603065,-49548.2930133694,-49553.7529468495
10000,0.215,0.825,0.00268732430401972,16.2617405462952,-62160.5122245422,-62168.6430948153
50,0.215,0.825,0.469686527455332,3.55419058438054,-281.563270747263,-283.340366039454
100,0.215,0.825,0.980689718172681,0.421375469860777,-616.57180303274,-616.78249076767
200,0.215,0.825,0.766522813187267,1.8325458831041,-1229.01713207582,-1229.93340501737
300,0.215,0.825,0.368582112826191,4.28679055223893,-1839.91120797129,-1842.05460324741
400,0.215,0.825,0.353342237991197,4.4100879936841,-2514.84805553236,-2517.0530995292
500,0.215,0.825,0.304657269184225,4.83493534350509,-3117.50090288967,-3119.91837056142
1000,0.215,0.825,0.567590922905332,2.94192357797874,-6132.81102173165,-6134.28198352064
2000,0.215,0.825,0.223042646212853,5.69585359172197,-12429.5340658699,-12432.3819926658
4000,0.215,0.825,0.0880182528769865,8.09900073679455,-24907.7152513169,-24911.7647516853
5000,0.215,0.825,0.177661103877053,6.30259734541323,-30932.4657144023,-30935.617013075
6000,0.215,0.825,0.00273481784021492,16.2223884852283,-37386.5441113138,-37394.6553055565
7000,0.215,0.825,0.0480956942430047,9.58167995512486,-43431.0836236273,-43435.8744636049
8000,0.215,0.825,0.386525942146695,4.14662429635064,-49443.0005859072,-49445.0738980553
10000,0.215,0.825,0.0545774049565792,9.27518481326115,-62132.3345022326,-62136.9720946393
50,0.215,0.825,0.391381558863968,4.10955975588217,-316.037125686693,-318.091905564634
100,0.215,0.825,0.412537875665858,3.95202221334125,-652.437797989846,-654.413809096516
200,0.215,0.825,0.505156962097265,3.32388404347739,-1241.29190086204,-1242.95384288378
300,0.215,0.825,0.27763805226536,5.09550162530786,-1854.77772611217,-1857.32547692482
400,0.215,0.825,0.278639686908505,5.08546945461967,-2444.50140072053,-2447.04413544784
500,0.215,0.825,0.282955552001211,5.04258797048533,-3066.64527690166,-3069.1665708869
1000,0.215,0.825,0.210145834926625,5.85622518208402,-6322.68780824622,-6325.61592083726
2000,0.215,0.825,0.0164565082873901,12.123446727328,-12286.9447817361,-12293.0065050998
4000,0.215,0.825,0.0696042013639879,8.68038389275898,-24871.4700939603,-24875.8102859067
5000,0.215,0.825,0.393404556212524,4.09422116668429,-31022.5351019578,-31024.5822125411
6000,0.215,0.825,0.410837096650793,3.96445953175134,-37486.5741115677,-37488.5563413335
7000,0.215,0.825,0.00139318141708848,17.7303527523036,-43345.2361747693,-43354.1013511454
8000,0.215,0.825,0.087193241888629,8.12247991254844,-49941.5924874132,-49945.6537273695
10000,0.215,0.825,0.0104470382408576,13.1760110911564,-61805.4793545259,-61812.0673600715
50,0.215,0.825,0.864503042314573,1.28152001961951,-314.871656006713,-315.512416016522
100,0.215,0.825,0.385380495381611,4.15541984298943,-646.62285106038,-648.700560981875
200,0.215,0.825,0.760913066582008,1.86313712677975,-1290.84407745339,-1291.77564601678
300,0.215,0.825,0.982055393205418,0.405122154605579,-1942.0009829478,-1942.20354402511
400,0.215,0.825,0.405810944715715,4.00144042328793,-2501.71836745274,-2503.71908766438
500,0.215,0.825,0.518138400881058,3.24222252688378,-3131.51531384106,-3133.1364251045
1000,0.215,0.825,0.0295035477786261,10.7514916750097,-6184.79560381002,-6190.17134964752
2000,0.215,0.825,0.41901611259083,3.90499447763068,-12342.5648709253,-12344.5173681641
4000,0.215,0.825,0.0547223009561771,9.26873829040414,-24866.2337096055,-24870.8680787507
5000,0.215,0.825,0.163118404182326,6.52665864369919,-30794.8181087752,-30798.0814380971
6000,0.215,0.825,0.0126832274447435,12.7281807334657,-37071.9455234131,-37078.3096137798
7000,0.215,0.825,0.0308983420651547,10.64183410439,-43378.4491743035,-43383.7700913557
8000,0.215,0.825,0.0374865456903493,10.1810080691357,-49415.6426430551,-49420.7331470897
10000,0.215,0.825,0.0120041891923606,12.855436621845,-61979.7714251652,-61986.1991434762
50,0.215,0.825,0.0297785082116211,10.7294841035259,-329.948623683077,-335.31336573484
100,0.215,0.825,0.462747841425543,3.60059858921022,-578.640930748314,-580.441230042919
200,0.215,0.825,0.608456475845217,2.7043337459877,-1260.74331166165,-1262.09547853464
300,0.215,0.825,0.505316104482939,3.32287495648279,-1825.86760714019,-1827.52904461843
400,0.215,0.825,0.489971078300487,3.42113321275519,-2487.22753543126,-2488.93810203764
500,0.215,0.825,0.378328415753344,4.21001873682053,-2997.34489729886,-2999.44990666727
1000,0.215,0.825,0.003144272812404,15.9086146334866,-6151.73718730514,-6159.69149462188
2000,0.215,0.825,0.591314139570165,2.80300481800805,-12414.5192218855,-12415.9207242945
4000,0.215,0.825,0.639937832201254,2.52627094861964,-24540.5248082075,-24541.7879436818
5000,0.215,0.825,0.149070218411013,6.76100179513742,-30984.4030457486,-30987.7835466462
6000,0.215,0.825,0.216372915475245,5.77774141718692,-37442.507975612,-37445.3968463206
7000,0.215,0.825,0.00208852558843888,16.8268696558807,-43250.3020268877,-43258.7154617156
8000,0.215,0.825,3.99480240275165e-05,25.4977787958051,-50020.8428207742,-50033.5917101721
10000,0.215,0.825,0.160315552476048,6.57190895838721,-62088.2087709141,-62091.4947253932
50,0.215,0.825,0.238156543227917,5.51794561488782,-306.742055259015,-309.501028066459
100,0.215,0.825,0.0441805621925302,9.7865674062275,-594.455212650712,-599.348496353825
200,0.215,0.825,0.826044470363622,1.50336930335015,-1231.61044295964,-1232.36212761131
300,0.215,0.825,0.896128627544615,1.08827114530823,-1810.46904205016,-1811.01317762282
400,0.215,0.825,0.74297105570101,1.96078802351531,-2561.48089138586,-2562.46128539762
500,0.215,0.825,0.553445508432696,3.0262300010445,-3068.26218726065,-3069.77530226117
1000,0.215,0.825,0.997196709939921,0.153625419068703,-6188.62475659472,-6188.70156930426
2000,0.215,0.825,0.142137907296785,6.88416064458579,-12315.0192793007,-12318.461359623
4000,0.215,0.825,0.186302986123106,6.17715654346102,-24783.0018723152,-24786.090450587
5000,0.215,0.825,0.144644183998081,6.83901298462297,-30984.3335293429,-30987.7530358352
6000,0.215,0.825,0.410244665109747,3.96880082628923,-37107.2863301298,-37109.2707305429
7000,0.215,0.825,0.000479482501551441,20.0895183831453,-43573.7618589474,-43583.806618139
8000,0.215,0.825,0.0691689941511567,8.69581608503358,-49274.0477920074,-49278.3957000499
10000,0.215,0.825,0.253286164347596,5.34941879939288,-62292.8361411214,-62295.5108505211
50,0.215,0.825,0.447393002078217,3.70504211101354,-281.15458258152,-283.007103637027
100,0.215,0.825,0.0984579613707499,7.81849193941434,-632.835851711991,-636.745097681698
200,0.215,0.825,0.317702218255709,4.71596102024387,-1258.57368673723,-1260.93166724736
300,0.215,0.825,0.355396013830231,4.39323004878315,-1856.38552445435,-1858.58213947874
400,0.215,0.825,0.306201436859372,4.82063499627384,-2543.6794390458,-2546.08975654394
500,0.215,0.825,0.616485214215601,2.65856051532228,-3093.09294067311,-3094.42222093077
1000,0.215,0.825,0.918963025881737,0.938571742852218,-6211.63304827061,-6212.10233414204
2000,0.215,0.825,0.951671386481743,0.697219368925289,-12405.6813064753,-12406.0299161598
4000,0.215,0.825,0.00952181113953863,13.3894045577181,-24770.4713990581,-24777.166101337
5000,0.215,0.825,0.53103165970422,3.16236096456851,-31376.6093406556,-31378.1905211378
6000,0.215,0.825,0.245092037817863,5.43957641531597,-36941.4734608834,-36944.193249091
7000,0.215,0.825,0.00212435570466911,16.7888010910392,-43348.4929159778,-43356.8873165233
8000,0.215,0.825,0.11404418194369,7.44755662899115,-49412.7898060678,-49416.5135843823
10000,0.215,0.825,0.107242579143141,7.60322806845943,-62053.1270727257,-62056.9286867599
50,0.215,0.825,0.34539198705202,4.47609018867627,-324.559811841004,-326.797856935342
100,0.215,0.825,0.403704740491494,4.01703931717657,-618.637426478033,-620.645946136622
200,0.215,0.825,0.58749733843865,2.82516094821995,-1207.26421956316,-1208.67680003727
300,0.215,0.825,0.160469707343476,6.56940164737625,-1872.64584299661,-1875.9305438203
400,0.215,0.825,0.374007299707087,4.24386401403899,-2536.39871827921,-2538.52065028622
500,0.215,0.825,0.577766750301626,2.88197570636112,-3123.0167382268,-3124.45772607998
